log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished,Timestamp,Machine,Benchmark,Header,SDC,LOGGED_ERRORS,ACC_ERR,ACC_TIME,ERR_OUTOFORDER,ERR_CORRUPTED,ERR_LINK,ERR_SYNC,IT_OOO,IT_CORRUPTED,IT_LINK,IT_SYNC,IT_OOO_CORR,IT_SYNC_CORR,IT_SYNC_OOO,IT_LINK_OOO,IT_LINK_CORR,IT_LINK_SYNC,IT_MULTIPLE,BALANCE_MISMATCHES,Logname
2016_09_07_01_12_01_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 692424723, 10.9356522455, 0.335930172541, 1,Wed Sep  7 01:12:01 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 3.503579 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_01_12_01_cudaMergeSort_carolk402.log
2016_09_07_01_12_46_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 8, rf, 0, 98896802, 7.91472762914, 0.0538680176061, 1,Wed Sep  7 01:12:46 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 2.956417 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_01_12_46_cudaMergeSort_carolk402.log
2016_09_07_01_12_58_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 5, rf, 0, 29512218, 5.01021094918, 0.148630673006, 1,Wed Sep  7 01:12:58 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 82 , 82 , 2.95634 , 21 , 58 , 3 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 , ./2016_09_07_01_12_58_cudaMergeSort_carolk402.log
2016_09_07_01_13_17_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 498295896, 12.9807192665, 0.266830295405, 1,Wed Sep  7 01:13:17 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 3.506302 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_01_13_17_cudaMergeSort_carolk402.log
2016_09_07_01_13_29_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 6, rf, 0, 45897611, 7.60872031675, 0.154857970914, 1,Wed Sep  7 01:13:29 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 2.95802 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_01_13_29_cudaMergeSort_carolk402.log
2016_09_07_01_14_22_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 4, rf, 0, 146492975, 10.4945647828, 0.686434403724, 1,Wed Sep  7 01:14:22 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 2.9553 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_01_14_22_cudaMergeSort_carolk402.log
2016_09_07_01_14_30_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 22196900, 12.8147011036, 0.583543505017, 1,Wed Sep  7 01:14:30 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 3.512252 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_01_14_30_cudaMergeSort_carolk402.log
2016_09_07_01_15_25_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 3, rf, 0, 117450317, 6.19403616876, 0.0998672705776, 1,Wed Sep  7 01:15:25 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 2.954519 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_01_15_25_cudaMergeSort_carolk402.log
2016_09_07_01_15_59_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 602594012, 12.7464812811, 0.0761298186461, 1,Wed Sep  7 01:15:59 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 3.503894 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_01_15_59_cudaMergeSort_carolk402.log
2016_09_07_01_16_08_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 314203354, 4.81114368441, 0.23164667998, 1,Wed Sep  7 01:16:08 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 5 , 5 , 3.510295 , 0 , 0 , 5 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_01_16_08_cudaMergeSort_carolk402.log
