Timestamp,Machine,Benchmark,Header,SDC,LOGGED_ERRORS,ACC_ERR,ACC_TIME,ERR_OUTOFORDER,ERR_CORRUPTED,ERR_LINK,ERR_SYNC,IT_OOO,IT_CORRUPTED,IT_LINK,IT_SYNC,IT_OOO_CORR,IT_SYNC_CORR,IT_SYNC_OOO,IT_LINK_OOO,IT_LINK_CORR,IT_LINK_SYNC,IT_MULTIPLE,BALANCE_MISMATCHES,Logname
Tue Sep 13 19:05:54 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 1 , 1 , 4.518216 , 1 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_05_54_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:06:08 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_06_08_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:06:14 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 5.625457 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_06_14_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:06:21 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 8 , 8 , 3.487861 , 6 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_06_21_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:06:34 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 220 , 220 , 4.399229 , 215 , 5 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 , ./2016_09_13_19_06_34_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:06:48 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_06_48_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:06:52 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 2 , 2 , 4.033787 , 0 , 2 , 0 , 0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_06_52_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:07:05 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 4.434026 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_07_05_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:07:11 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 4.160919 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_07_11_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:07:16 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 2 , 2 , 5.468611 , 0 , 2 , 0 , 0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_07_16_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:07:31 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 3.894093 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_07_31_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:07:36 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 6 , 6 , 3.871004 , 2 , 4 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_07_36_cudaQuickSortCDP_carolk402.log
Tue Sep 13 19:07:49 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 4.19992 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_19_07_49_cudaQuickSortCDP_carolk402.log
