log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished,Timestamp,Machine,Benchmark,Header,SDC,LOGGED_ERRORS,ACC_ERR,ACC_TIME,ERR_OUTOFORDER,ERR_CORRUPTED,ERR_LINK,ERR_SYNC,IT_OOO,IT_CORRUPTED,IT_LINK,IT_SYNC,IT_OOO_CORR,IT_SYNC_CORR,IT_SYNC_OOO,IT_LINK_OOO,IT_LINK_CORR,IT_LINK_SYNC,IT_MULTIPLE,BALANCE_MISMATCHES,Logname
2016_09_13_14_50_47_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 668108493, 0.941285767039, 0.476322813337, 1,Tue Sep 13 14:50:47 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 3 , 3 , 3.708384 , 1 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_50_47_cudaQuickSortCDP_carolk402.log
2016_09_13_14_51_00_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 1092132718, 0.223330256004, 0.442595970783, 1,Tue Sep 13 14:51:00 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 3 , 3 , 4.345853 , 1 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_51_00_cudaQuickSortCDP_carolk402.log
2016_09_13_14_51_19_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 99762393, 0.136678392336, 0.0597837084039, 1,Tue Sep 13 14:51:19 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 2 , 2 , 4.324371 , 0 , 2 , 0 , 0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_51_19_cudaQuickSortCDP_carolk402.log
2016_09_13_14_51_36_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 467422734, 0.685160177505, 0.945443199316, 1,Tue Sep 13 14:51:36 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 1 , 1 , 4.192507 , 1 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_51_36_cudaQuickSortCDP_carolk402.log
2016_09_13_14_52_05_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 990442534, 0.462955298617, 0.295932711586, 1,Tue Sep 13 14:52:05 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 2 , 2 , 8.014023 , 0 , 2 , 0 , 0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_52_05_cudaQuickSortCDP_carolk402.log
2016_09_13_14_52_23_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 1169174189, 0.578840589682, 0.243899387188, 1,Tue Sep 13 14:52:23 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 193 , 193 , 4.462594 , 193 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_52_23_cudaQuickSortCDP_carolk402.log
2016_09_13_14_53_04_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 272695375, 0.0898521793013, 0.803920548302, 1,Tue Sep 13 14:53:04 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 1 , 1 , 5.165996 , 1 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_53_04_cudaQuickSortCDP_carolk402.log
2016_09_13_14_53_25_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 656642422, 0.505749522858, 0.407480559483, 1,Tue Sep 13 14:53:25 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 31 , 31 , 4.202621 , 31 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_53_25_cudaQuickSortCDP_carolk402.log
2016_09_13_14_53_38_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 1436339680, 0.749939052812, 0.00682665390137, 1,Tue Sep 13 14:53:38 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 142 , 142 , 4.300656 , 140 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_53_38_cudaQuickSortCDP_carolk402.log
2016_09_13_14_53_52_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 956266313, 0.581538505714, 0.190358169034, 1,Tue Sep 13 14:53:52 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 99 , 99 , 3.391706 , 85 , 14 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_53_52_cudaQuickSortCDP_carolk402.log
