Timestamp,Machine,Benchmark,Header,SDC,LOGGED_ERRORS,ACC_ERR,ACC_TIME,ERR_OUTOFORDER,ERR_CORRUPTED,ERR_LINK,ERR_SYNC,IT_OOO,IT_CORRUPTED,IT_LINK,IT_SYNC,IT_OOO_CORR,IT_SYNC_CORR,IT_SYNC_OOO,IT_LINK_OOO,IT_LINK_CORR,IT_LINK_SYNC,IT_MULTIPLE,BALANCE_MISMATCHES,Logname
Mon Sep 12 22:29:39 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 2.794073 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_29_39_cudaMergeSort_carolk402.log
Mon Sep 12 22:29:43 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_29_43_cudaMergeSort_carolk402.log
Mon Sep 12 22:29:48 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 2.792369 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_29_48_cudaMergeSort_carolk402.log
Mon Sep 12 22:29:56 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_29_56_cudaMergeSort_carolk402.log
Mon Sep 12 22:30:00 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 3.125038 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_30_00_cudaMergeSort_carolk402.log
Mon Sep 12 22:30:04 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_30_04_cudaMergeSort_carolk402.log
Mon Sep 12 22:30:09 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 2.789635 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_30_09_cudaMergeSort_carolk402.log
Mon Sep 12 22:30:13 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_30_13_cudaMergeSort_carolk402.log
Mon Sep 12 22:30:15 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_30_15_cudaMergeSort_carolk402.log
Mon Sep 12 22:30:19 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 2.791998 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_30_19_cudaMergeSort_carolk402.log
Mon Sep 12 22:30:23 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_30_23_cudaMergeSort_carolk402.log
Mon Sep 12 22:30:27 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_30_27_cudaMergeSort_carolk402.log
Mon Sep 12 22:30:31 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 2.793328 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_30_31_cudaMergeSort_carolk402.log
Mon Sep 12 22:30:36 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 2.792155 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_12_22_30_36_cudaMergeSort_carolk402.log
Mon Sep 12 22:30:43 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 3.125903 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_30_43_cudaMergeSort_carolk402.log
Mon Sep 12 22:30:48 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_30_48_cudaMergeSort_carolk402.log
Mon Sep 12 22:30:51 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_30_51_cudaMergeSort_carolk402.log
Mon Sep 12 22:30:56 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_22_30_56_cudaMergeSort_carolk402.log
